case:concept:name|concept:name|start_timestamp|time:timestamp|partner|costs
12|be010 [Fix] (1rhfk1b)|2022-05-16 15:31:21.187654|2022-05-16 16:30:08.504345|None|{'material': 0.0, 'personal': 16.3372609304706, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be009 [Fix] (0ov7zmi)|2022-05-16 15:25:24.172849|2022-05-16 16:23:44.771019|None|{'material': 0.0, 'personal': 16.041971426003833, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be008 [Fix] (0aidik3)|2022-05-16 15:31:03.089666|2022-05-16 16:30:37.475359|None|{'material': 0.0, 'personal': 15.136553289073682, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be013 [Transportation] (18ywiz5)|2022-05-10 19:21:52.675567|2022-05-10 20:26:51.702093|None|{'material': 0.0, 'personal': 0.0, 'transport': 113.26033777989707, 'vertrieb': 0.0, 'equipment': 0.0}
12|be011 [AC_Adjust] (1cjihaa)|2022-05-16 16:36:41.907003|2022-05-16 17:37:18.975648|None|{'material': 0.0, 'personal': 14.99162340690106, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be012 [AC_Adjust] (0qdjcig)|2022-05-16 16:36:41.907003|2022-05-16 17:34:54.858882|None|{'material': 0.0, 'personal': 13.229773021044618, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be014 [Transportation] (1pvwqs0)|2022-05-10 20:26:51.810093|2022-05-10 21:30:41.277972|None|{'material': 0.0, 'personal': 0.0, 'transport': 113.85058601864856, 'vertrieb': 0.0, 'equipment': 0.0}
12|be011 [Fix] (12zfp1a)|2022-05-16 17:43:11.327327|2022-05-16 18:43:21.431699|None|{'material': 0.0, 'personal': 13.28031772578707, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be012 [Fix] (1laiyry)|2022-05-16 17:40:44.794328|2022-05-16 18:37:21.069449|None|{'material': 0.0, 'personal': 16.365690194334697, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be013 [AC_Adjust] (1t2w2f6)|2022-05-16 16:36:41.907003|2022-05-16 17:30:04.586543|None|{'material': 0.0, 'personal': 17.949726699749775, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be013 [Fix] (0dde9j3)|2022-05-16 17:35:56.012974|2022-05-16 18:37:35.360830|None|{'material': 0.0, 'personal': 15.011857297565143, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be015 [Transportation] (0sbtnfs)|2022-05-10 21:30:41.385972|2022-05-10 22:30:32.600302|None|{'material': 0.0, 'personal': 0.0, 'transport': 107.38774013837364, 'vertrieb': 0.0, 'equipment': 0.0}
12|be014 [AC_Adjust] (142amyw)|2022-05-16 16:36:41.907003|2022-05-16 17:36:25.971309|None|{'material': 0.0, 'personal': 21.96786050745457, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be014 [Fix] (11t8e6c)|2022-05-16 17:42:57.115103|2022-05-16 18:38:31.896169|None|{'material': 0.0, 'personal': 16.188292826551304, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be016 [Transportation] (1fl9lbh)|2022-05-10 22:30:32.708302|2022-05-10 23:32:49.854108|None|{'material': 0.0, 'personal': 0.0, 'transport': 105.70536508487181, 'vertrieb': 0.0, 'equipment': 0.0}
12|be017 [Transportation] (0xpwpmn)|2022-05-10 23:32:49.962108|2022-05-11 00:43:40.784535|None|{'material': 0.0, 'personal': 0.0, 'transport': 113.3958192292673, 'vertrieb': 0.0, 'equipment': 0.0}
12|be015 [AC_Adjust] (0vi1myl)|2022-05-16 18:49:00.833940|2022-05-16 19:47:37.272594|None|{'material': 0.0, 'personal': 14.23164027917143, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be016 [AC_Adjust] (0efv0hq)|2022-05-16 18:49:00.833940|2022-05-16 19:51:41.528411|None|{'material': 0.0, 'personal': 15.766334370569858, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be015 [Fix] (182rs14)|2022-05-16 19:53:37.829928|2022-05-16 20:51:48.548317|None|{'material': 0.0, 'personal': 17.631585913291143, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be016 [Fix] (05lycpx)|2022-05-16 19:57:49.282272|2022-05-16 21:02:05.192234|None|{'material': 0.0, 'personal': 17.447173914134503, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be018 [Transportation] (0b2p3a7)|2022-05-11 00:43:40.892535|2022-05-11 01:52:01.334003|None|{'material': 0.0, 'personal': 0.0, 'transport': 99.968971950775, 'vertrieb': 0.0, 'equipment': 0.0}
12|be017 [AC_Adjust] (0ck7v5n)|2022-05-16 18:49:00.833940|2022-05-16 19:43:11.495243|None|{'material': 0.0, 'personal': 12.601957599074856, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
12|be017 [Fix] (1jgte7u)|2022-05-16 19:49:11.125540|2022-05-16 20:43:19.097240|None|{'material': 0.0, 'personal': 14.818400258976407, 'transport': 0.0, 'vertrieb': 0.0, 'equipment': 0.0}
